cmdty,mse,mae,modelo,mse_est,mae_est,mse_ratio,mae_ratio
cocoa,3.6327686089071695e-4,0.014837543682927142,estático,3.6327686089071695e-4,0.014837543682927142,1,1
coffee,3.810443644882713e-4,0.015065147638089044,estático,3.810443644882713e-4,0.015065147638089044,1,1
cotton,1.8697888853823826e-4,0.010273480016121089,estático,1.8697888853823826e-4,0.010273480016121089,1,1
orange_juice,3.3640535912058306e-4,0.013829417278926882,estático,3.3640535912058306e-4,0.013829417278926882,1,1
sugar,3.1126324066346484e-4,0.012858629339356187,estático,3.1126324066346484e-4,0.012858629339356187,1,1
cocoa,3.68970689162027e-4,0.014907011228175272,garch,3.6327686089071695e-4,0.014837543682927142,1.015673523101222,1.0046818763760785
coffee,3.9618462770869264e-4,0.015243578641921994,garch,3.810443644882713e-4,0.015065147638089044,1.0397335970071468,1.0118439598548523
cotton,1.9084073772385193e-4,0.01039732384776816,garch,1.8697888853823826e-4,0.010273480016121089,1.0206539316593697,1.012054710911272
orange_juice,3.4351929801807314e-4,0.014029035773957442,garch,3.3640535912058306e-4,0.013829417278926882,1.0211469249957463,1.0144343388448287
sugar,3.2205318177533316e-4,0.013160751087603777,garch,3.1126324066346484e-4,0.012858629339356187,1.0346650028087778,1.0234956417417593
cocoa,3.4379927522388794e-4,0.013951926905184691,rolling_window,3.6327686089071695e-4,0.014837543682927142,0.9463836325300984,0.9403124400731175
coffee,3.4379927522388794e-4,0.013951926905184691,rolling_window,3.810443644882713e-4,0.015065147638089044,0.9022552418157341,0.926106218163451
cotton,3.4379927522388794e-4,0.013951926905184691,rolling_window,1.8697888853823826e-4,0.010273480016121089,1.8387063796968661,1.3580526640720967
orange_juice,3.4379927522388794e-4,0.013951926905184691,rolling_window,3.3640535912058306e-4,0.013829417278926882,1.021979186427451,1.0088586253337288
sugar,3.4379927522388794e-4,0.013951926905184691,rolling_window,3.1126324066346484e-4,0.012858629339356187,1.1045289976775663,1.0850244249970147
cocoa,3.1579374274025486e-4,0.013372843591084068,expanding_window,3.6327686089071695e-4,0.014837543682927142,0.8692922031036097,0.9012841934525567
coffee,3.1579374274025486e-4,0.013372843591084068,expanding_window,3.810443644882713e-4,0.015065147638089044,0.8287584653413109,0.8876676095276794
cotton,3.1579374274025486e-4,0.013372843591084068,expanding_window,1.8697888853823826e-4,0.010273480016121089,1.6889272645113258,1.3016858523206816
orange_juice,3.1579374274025486e-4,0.013372843591084068,expanding_window,3.3640535912058306e-4,0.013829417278926882,0.9387298215634547,0.9669853271013424
sugar,3.1579374274025486e-4,0.013372843591084068,expanding_window,3.1126324066346484e-4,0.012858629339356187,1.0145552107827867,1.0399898183668794
cocoa,3.1579374274025486e-4,0.013372843591084068,dlm,3.6327686089071695e-4,0.014837543682927142,0.8692922031036097,0.9012841934525567
coffee,3.1579374274025486e-4,0.013372843591084068,dlm,3.810443644882713e-4,0.015065147638089044,0.8287584653413109,0.8876676095276794
cotton,3.1579374274025486e-4,0.013372843591084068,dlm,1.8697888853823826e-4,0.010273480016121089,1.6889272645113258,1.3016858523206816
orange_juice,3.1579374274025486e-4,0.013372843591084068,dlm,3.3640535912058306e-4,0.013829417278926882,0.9387298215634547,0.9669853271013424
sugar,3.1579374274025486e-4,0.013372843591084068,dlm,3.1126324066346484e-4,0.012858629339356187,1.0145552107827867,1.0399898183668794
